Latitude,Longitude,Rainfall,GW_Recharge,GW_Extraction,Extraction_Stage_Perc,Prev_GW,GW_Level
24.4425,72.42,764.9,147567.45,157492.27,112.34,16.3,6.8
24.49694,72.38389,764.9,147567.45,157492.27,112.34,15.4,18.7
24.36361,72.28944,764.9,147567.45,157492.27,112.34,22.1,19.1
24.35583,72.36389,764.9,147567.45,157492.27,112.34,12.9,9.6
24.55611,72.35083,764.9,147567.45,157492.27,112.34,16.7,16.3
24.49194,72.30222,764.9,147567.45,157492.27,112.34,38.5,35.2
24.46152,72.38372,764.9,147567.45,157492.27,112.34,15.0,10.3
24.29222,72.3375,764.9,147567.45,157492.27,112.34,25.3,21.5
24.25667,72.1875,764.9,147567.45,157492.27,112.34,79.3,74.37
24.39722,72.28472,764.9,147567.45,157492.27,112.34,11.13,9.19
24.40139,72.29583,764.9,147567.45,157492.27,112.34,19.02,11.84
24.28736,72.16598,764.9,147567.45,157492.27,112.34,77.3,68.5
24.28736,72.16528,764.9,147567.45,157492.27,112.34,79.88,79.98
24.28746,72.16518,764.9,147567.45,157492.27,112.34,88.9,88.5
24.35417,72.17028,764.9,147567.45,157492.27,112.34,87.1,84.6
24.21417,72.01472,764.9,147567.45,157492.27,112.34,131.5,128.1
24.15278,72.11056,764.9,147567.45,157492.27,112.34,111.6,107.2
24.12972,72.17167,764.9,147567.45,157492.27,112.34,84.1,88.6
24.19556,71.98028,764.9,147567.45,157492.27,112.34,118.5,114.8
24.37417,72.21917,764.9,147567.45,157492.27,112.34,47.1,43.8
24.425,72.1025,764.9,147567.45,157492.27,112.34,94.4,91.6
24.4251,72.1024,764.9,147567.45,157492.27,112.34,77.4,74.1
24.08028,71.72,764.9,147567.45,157492.27,112.34,69.1,65.0
24.58611,71.93333,764.9,147567.45,157492.27,112.34,57.25,56.81
24.54972,72.22056,764.9,147567.45,157492.27,112.34,38.5,35.5
24.58,72.2,764.9,147567.45,157492.27,112.34,37.3,33.2
24.55,71.94,764.9,147567.45,157492.27,112.34,62.5,60.3
24.49,72.18,764.9,147567.45,157492.27,112.34,58.19,54.29
24.61,71.93,764.9,147567.45,157492.27,112.34,57.4,57.4
24.61222,71.92889,764.9,147567.45,157492.27,112.34,57.4,57.4
24.65,71.88,764.9,147567.45,157492.27,112.34,45.8,44.1
24.61,72.31,764.9,147567.45,157492.27,112.34,39.2,35.5
24.68972,72.07056,764.9,147567.45,157492.27,112.34,93.1,91.0
24.58611,71.93333,764.9,147567.45,157492.27,112.34,57.09,56.63
24.50461,72.03051,764.9,147567.45,157492.27,112.34,100.94,94.63
23.95056,71.84694,764.9,147567.45,157492.27,112.34,65.1,63.1
23.9925,71.82667,764.9,147567.45,157492.27,112.34,99.3,95.4
23.98972,71.82722,764.9,147567.45,157492.27,112.34,141.02,137.52
23.89167,71.8575,764.9,147567.45,157492.27,112.34,16.8,12.8
23.99306,71.85083,764.9,147567.45,157492.27,112.34,93.5,92.2
24.13333,71.95639,764.9,147567.45,157492.27,112.34,19.3,19.4
24.40642,71.82861,764.9,147567.45,157492.27,112.34,60.1,57.7
24.41,71.93,764.9,147567.45,157492.27,112.34,56.8,52.7
24.41,71.93,764.9,147567.45,157492.27,112.34,57.3,56.1
24.41,71.93,764.9,147567.45,157492.27,112.34,56.4,53.8
24.29556,71.7275,764.9,147567.45,157492.27,112.34,72.1,69.1
24.32,71.98,764.9,147567.45,157492.27,112.34,100.4,96.3
24.30722,71.78028,764.9,147567.45,157492.27,112.34,88.6,88.9
24.23113,71.91254,764.9,147567.45,157492.27,112.34,145.25,144.88
24.17202,72.45003,764.9,147567.45,157492.27,112.34,40.63,39.0
24.19444,72.43333,764.9,147567.45,157492.27,112.34,33.92,34.17
24.19,72.48,764.9,147567.45,157492.27,112.34,39.2,36.45
24.21,72.32,764.9,147567.45,157492.27,112.34,95.31,94.51
24.18,72.56,764.9,147567.45,157492.27,112.34,23.9,17.6
24.14,72.53,764.9,147567.45,157492.27,112.34,30.2,26.7
24.24611,72.54694,764.9,147567.45,157492.27,112.34,16.9,16.75
24.23139,72.6175,764.9,147567.45,157492.27,112.34,8.7,8.65
24.26028,72.46972,764.9,147567.45,157492.27,112.34,24.7,23.5
24.27,72.48,764.9,147567.45,157492.27,112.34,14.6,11.9
24.11,72.25,764.9,147567.45,157492.27,112.34,69.4,61.8
24.11,72.25,764.9,147567.45,157492.27,112.34,128.6,120.8
24.11,72.25,764.9,147567.45,157492.27,112.34,156.0,145.5
24.1,72.43,764.9,147567.45,157492.27,112.34,69.8,68.2
24.13,72.46,764.9,147567.45,157492.27,112.34,40.4,42.2
24.51,71.73,764.9,147567.45,157492.27,112.34,33.3,31.6
24.32028,71.635,764.9,147567.45,157492.27,112.34,18.3,13.6
24.45917,71.79194,764.9,147567.45,157492.27,112.34,31.4,27.7
24.65833,71.76667,764.9,147567.45,157492.27,112.34,23.82,20.58
24.49667,71.61417,764.9,147567.45,157492.27,112.34,8.6,4.6
24.61694,71.74778,764.9,147567.45,157492.27,112.34,19.6,15.9
24.64917,71.55306,764.9,147567.45,157492.27,112.34,13.45,8.8
24.39694,71.62722,764.9,147567.45,157492.27,112.34,14.72,10.63
24.39694,71.62722,764.9,147567.45,157492.27,112.34,14.34,10.42
24.38917,71.63556,764.9,147567.45,157492.27,112.34,23.0,16.8
24.42583,71.78056,764.9,147567.45,157492.27,112.34,38.7,34.2
24.40667,71.68778,764.9,147567.45,157492.27,112.34,39.34,37.64
24.52513,71.86325,764.9,147567.45,157492.27,112.34,44.35,44.25
24.52513,71.86235,764.9,147567.45,157492.27,112.34,44.72,44.42
